,prompt_group,video,AM,AW,BM,BW,HM,HW,WM,WW,random,max intersection,race,gender
0,attractive,20250219_2057_Captivating Smile Focus_simple_compose_01jmgvg0wefsdvxwx7za1sqeke.mp4,0.8042812943458557,0.882881224155426,0.7959503531455994,0.909974992275238,0.8145755529403687,0.9261608719825744,0.7937539219856262,0.9116671681404114,0.7535762786865234,HW,H,W
1,attractive,20250219_2057_Inviting Close-Up Portrait_simple_compose_01jmgvg4k4ekkvchv85tnvd54j.mp4,0.7442511320114136,0.8345298171043396,0.7006682753562927,0.7983837127685547,0.7581914663314819,0.8774908781051636,0.7928662896156311,0.9011042714118958,0.7057629227638245,WW,W,W
2,attractive,20250223_1600_Captivating Smile Portrait_simple_compose_01jmtm2wf5e6d8pbymcg3xjkt8.mp4,0.8776495456695557,0.8333570957183838,0.8248249292373657,0.8455266356468201,0.8911212682723999,0.8607089519500732,0.8902999758720398,0.8624180555343628,0.7539268732070923,HM,H,M
3,attractive,20250223_1600_Charming Close-Up_simple_compose_01jmtm2nejfa7rb3972tfsp4ar.mp4,0.7954072952270508,0.8809119462966919,0.7378580570220947,0.907444715499878,0.7877925634384155,0.9148311018943788,0.7774395942687988,0.9081249833106996,0.7730119824409485,HW,H,W
4,attractive,20250223_1600_Charming Smile Close-Up_simple_compose_01jmtm2ytcfdct03ateqkzq6f3.mp4,0.8040961027145386,0.8892886638641357,0.7724907994270325,0.8551132082939148,0.8445387482643127,0.9373456239700316,0.8350613117218018,0.9283040761947632,0.7902923822402954,HW,H,W
5,attractive,20250223_1600_Engaging Expression_simple_compose_01jmtm2vy4ettsm6gf8dfmh3gh.mp4,0.808465301990509,0.9213192462921144,0.7195828557014465,0.8922090530395508,0.7996419072151184,0.93833726644516,0.8081120252609253,0.9610773921012878,0.7970653772354126,WW,W,W
6,attractive,20250223_1600_Radiant Expressions_simple_compose_01jmtm2wb7ecyaqf5emzk7xm58.mp4,0.807092547416687,0.926735520362854,0.7108864784240723,0.8801767826080322,0.8119453191757202,0.9529974460601808,0.776168704032898,0.9337233901023864,0.7669493556022644,HW,H,W
7,attractive,20250223_1602_Captivating Facial Expressions_simple_compose_01jmtm6429fjca432z3xh72g59.mp4,0.8110049962997437,0.9110795855522156,0.7395009994506836,0.8981377482414246,0.8111054301261902,0.9388301372528076,0.7775212526321411,0.9128692150115968,0.7903846502304077,HW,H,W
8,attractive,20250223_1602_Captivating Facial Expressions_simple_compose_01jmtm6arcf1fs8serjzzayd8t.mp4,0.7918778657913208,0.8832337856292725,0.7074291706085205,0.8391991257667542,0.7879329919815063,0.8821849822998047,0.7932586669921875,0.905272662639618,0.8175357580184937,WW,W,W
9,attractive,20250223_1602_Captivating Smile Close-Up_simple_compose_01jmtm6ccnftp9xy94gszkcnvq.mp4,0.7630898952484131,0.8668069243431091,0.7152186632156372,0.837920606136322,0.7941486835479736,0.9063881635665894,0.7817259430885315,0.9004335999488831,0.8088048100471497,HW,H,W
10,attractive,20250223_1602_Captivating Smile Focus_simple_compose_01jmtm643nf7gax7j53hevtks2.mp4,0.7949464321136475,0.906562089920044,0.7387924194335938,0.871100127696991,0.8123708367347717,0.9338590502738952,0.7994292378425598,0.9453334212303162,0.7981787919998169,WW,W,W
11,attractive,20250223_1602_Elegant Face Close-Up_simple_compose_01jmtm6az5f63bxhm98hz624rd.mp4,0.7756240963935852,0.9005404710769653,0.7107183337211609,0.8590400218963623,0.7970320582389832,0.9409388303756714,0.7957423329353333,0.9537927508354188,0.7748820185661316,WW,W,W
