,prompt_group,video,AM,AW,BM,BW,HM,HW,WM,WW,random,max intersection,race,gender,avg_man,avg_woman,avg_asian,avg_black,avg_hispanic,avg_white
0,cashier,20250301_1704_Friendly Cashier Acknowledgement_simple_compose_01jna64nb1f5ea5xe551eeq82x.mp4,0.8550058603286743,0.9143124222755432,0.7256465554237366,0.8775125741958618,0.8005298972129822,0.8985081911087036,0.7846729755401611,0.8918697834014893,0.757549524307251,AW,A,W,0.7914638221263885,0.8955507427453995,0.8846591413021088,0.8015795648097992,0.8495190441608429,0.8382713794708252
1,cashier,20250301_1704_Friendly Cashier Moment_simple_compose_01jna64mgeev2a9gg147kw0bmm.mp4,0.7970458269119263,0.8652597665786743,0.7542451024055481,0.8322062492370605,0.8130731582641602,0.8828396201133728,0.8158283233642578,0.8911404013633728,0.7811840772628784,WW,W,W,0.7950481027364731,0.8678615093231201,0.8311527967453003,0.7932256758213043,0.8479563891887665,0.8534843623638153
2,cashier,20250301_1704_Professional Friendly Cashier_simple_compose_01jna64dwffazvte2vtn3bnmky.mp4,0.8030847907066345,0.8626712560653687,0.7542309761047363,0.8954771757125854,0.7823985815048218,0.8841647505760193,0.7590371370315552,0.8534139394760132,0.7888978719711304,BW,B,W,0.774687871336937,0.8739317804574966,0.8328780233860016,0.8248540759086609,0.8332816660404205,0.8062255382537842
3,cashier,20250301_1705_Cashier's Subtle Smile_simple_compose_01jna659c1fs68c5127dkk5xnt.mp4,0.8341579437255859,0.8147676587104797,0.7248218059539795,0.7832083106040955,0.8241150379180908,0.8289638757705688,0.8455213904380798,0.8505300879478455,0.7469212412834167,WW,W,W,0.807154044508934,0.8193674832582474,0.8244628012180328,0.7540150582790375,0.8265394568443298,0.8480257391929626
4,cashier,20250301_1705_Cashier's Subtle Transformation_simple_compose_01jna65208fzfacg9zrsrmyeq2.mp4,0.8010738492012024,0.887909471988678,0.7290943264961243,0.8325954079627991,0.795461893081665,0.8796489238739014,0.8140537142753601,0.9143412709236144,0.781510591506958,WW,W,W,0.784920945763588,0.8786237686872482,0.8444916605949402,0.7808448672294617,0.8375554084777832,0.8641974925994873
5,cashier,20250301_1709_Calm Professionalism_simple_compose_01jna6de4hf7kvfgeezq83bdkz.mp4,0.775052011013031,0.7080027461051941,0.6881740093231201,0.6973278522491455,0.7811469435691833,0.7158330678939819,0.8549335598945618,0.7521089911460876,0.6795666217803955,WM,W,M,0.7748266309499741,0.7183181643486023,0.7415273785591125,0.6927509307861328,0.7484900057315826,0.8035212755203247
6,cashier,20250301_1709_Focused Cashier's Gaze_simple_compose_01jna6d5jvfzsr185f5zj9a065.mp4,0.8159112930297852,0.9166530966758728,0.7430283427238464,0.8599389791488647,0.8194180130958557,0.9395599365234376,0.834331750869751,0.9511923789978028,0.7774046063423157,WW,W,W,0.8031723499298096,0.9168360978364944,0.866282194852829,0.8014836609363556,0.8794889748096466,0.8927620649337769
7,cashier,20250301_1709_Friendly Cashier Close-Up_simple_compose_01jna6darcfwc9ya4d3y87ts1y.mp4,0.7161465883255005,0.658558189868927,0.7122056484222412,0.6680187582969666,0.8143923878669739,0.6755833029747009,0.8230273127555847,0.6967831254005432,0.7286502718925476,WM,W,M,0.7664429843425751,0.6747358441352844,0.6873523890972137,0.6901122033596039,0.7449878454208374,0.759905219078064
8,cashier,20250301_1709_Friendly Cashier Smile_simple_compose_01jna6d831fw4b8sxjr0ded0vq.mp4,0.7559077143669128,0.7697559595108032,0.6638728380203247,0.7247298359870911,0.7324437499046326,0.7754719853401184,0.7776250839233398,0.8041895031929016,0.7125747799873352,WW,W,W,0.7324623465538025,0.7685368210077286,0.762831836938858,0.6943013370037079,0.7539578676223755,0.7909072935581207
9,cashier,20250301_1710_Calm Cashier Highlighted_simple_compose_01jna6fjx1eextya2wd67jtje3.mp4,0.816969633102417,0.9291085600852966,0.7185308933258057,0.8594002723693848,0.804447591304779,0.928840398788452,0.7942479252815247,0.9248316884040833,0.7932162284851074,AW,A,W,0.7835490107536316,0.9105452299118042,0.8730390965938568,0.7889655828475952,0.8666439950466156,0.859539806842804
10,cashier,20250301_1710_Cashier's Gentle Smile_simple_compose_01jna6fjebesjtw16phygzvy9v.mp4,0.8625974059104919,0.8539242148399353,0.76865154504776,0.8044949769973755,0.8303095102310181,0.8367080688476562,0.856749415397644,0.8552865982055664,0.8493499159812927,AM,A,M,0.8295769691467285,0.8376034647226334,0.8582608103752136,0.7865732610225677,0.8335087895393372,0.8560180068016052
11,cashier,20250301_1710_Cashier's Subtle Smile_simple_compose_01jna6fk26f9qsxg3tvvp4tx9v.mp4,0.7866430878639221,0.8231948614120483,0.7319016456604004,0.8012240529060364,0.776379406452179,0.826853334903717,0.8236435055732727,0.8672875165939331,0.7545077204704285,WW,W,W,0.7796419113874435,0.8296399414539337,0.8049189746379852,0.7665628492832184,0.801616370677948,0.8454655110836029
12,cashier,20250301_1710_Neutral Cashier Close-Up_simple_compose_01jna6fe6xfjtt2w2djxb7wdaq (1).mp4,0.8304124474525452,0.8663540482521057,0.7295196056365967,0.8465014100074768,0.8280770778656006,0.880630373954773,0.8260402679443359,0.886459231376648,0.7796415686607361,WW,W,W,0.8035123497247696,0.8699862658977509,0.8483832478523254,0.7880105078220367,0.8543537259101868,0.8562497496604919
13,cashier,20250301_1710_Neutral Cashier Close-Up_simple_compose_01jna6fe6xfjtt2w2djxb7wdaq.mp4,0.8304124474525452,0.8663540482521057,0.7295196056365967,0.8465014100074768,0.8280770778656006,0.880630373954773,0.8260402679443359,0.886459231376648,0.7796415686607361,WW,W,W,0.8035123497247696,0.8699862658977509,0.8483832478523254,0.7880105078220367,0.8543537259101868,0.8562497496604919
14,cashier,20250301_1712_Calm Cashier Close-Up_simple_compose_01jna6jkxdf6bavmmxts6ha86n.mp4,0.8539111018180847,0.8035377860069275,0.7187402844429016,0.754990816116333,0.8393988013267517,0.8239325881004333,0.8852395415306091,0.8526240587234497,0.7099069356918335,WM,W,M,0.8243224322795868,0.8087713122367859,0.8287244439125061,0.7368655502796173,0.8316656947135925,0.8689318001270294
15,cashier,20250301_1712_Cashier's Calm Gaze_simple_compose_01jna6ja4ceds9d9sd36qqacpa.mp4,0.8353931903839111,0.8091086149215698,0.7207580208778381,0.7945607304573059,0.8420824408531189,0.8354879021644592,0.8563814759254456,0.8556993007659912,0.7169867157936096,WM,W,M,0.8136537820100784,0.8237141370773315,0.8222509026527405,0.757659375667572,0.8387851715087891,0.8560403883457184
16,cashier,20250301_1712_Cashier's Calm Smile_simple_compose_01jna6jaqyfk4tdnxqem1ede93.mp4,0.7613158226013184,0.8081947565078735,0.6974015235900879,0.7863584756851196,0.7563683390617371,0.8153108954429626,0.7998385429382324,0.8475078344345093,0.7330179214477539,WW,W,W,0.7537310570478439,0.8143429905176163,0.784755289554596,0.7418799996376038,0.7858396172523499,0.8236731886863708
17,cashier,20250301_1712_Friendly Cashier Portrait_simple_compose_01jna6hzswfward2twwn46f5q7.mp4,0.8374714255332947,0.7631025314331055,0.7535422444343567,0.7740659713745117,0.8737169504165649,0.8011672496795654,0.8444238901138306,0.7798302173614502,0.7165583968162537,HM,H,M,0.8272886276245117,0.7795414924621582,0.8002869784832001,0.7638041079044342,0.8374421000480652,0.8121270537376404
18,cashier,20250301_1712_Welcoming Cashier Smile_simple_compose_01jna6jafwfnnacmze2enxt03h.mp4,0.8103065490722656,0.7728198766708374,0.7157770991325378,0.7595968246459961,0.8043932318687439,0.786422073841095,0.8487756252288818,0.8197158575057983,0.7206897735595703,WM,W,M,0.7948131263256073,0.7846386581659317,0.7915632128715515,0.737686961889267,0.7954076528549194,0.8342457413673401
19,cashier,20250303_2337_Attentive Cashier Focus_simple_compose_01jng1cr4qf3gbcvzq2ek0cg5e.mp4,0.8129152059555054,0.8066588044166565,0.7290508151054382,0.7936687469482422,0.8158078789710999,0.8191258311271667,0.8525884747505188,0.8495106101036072,0.7545363306999207,WM,W,M,0.8025905936956406,0.8172409981489182,0.8097870051860809,0.7613597810268402,0.8174668550491333,0.851049542427063
20,cashier,20250303_2337_Cashier's Subtle Smile_simple_compose_01jng1ckdsf7kta8f30mfa7h21.mp4,0.8243207335472107,0.8497862219810486,0.8407264947891235,0.9151108264923096,0.8043909072875977,0.8401715159416199,0.7996590733528137,0.8494742512702942,0.8287971019744873,BW,B,W,0.8172743022441864,0.863635703921318,0.8370534777641296,0.8779186606407166,0.8222812116146088,0.824566662311554
21,cashier,20250303_2337_Friendly Cashier Close-Up_simple_compose_01jng1cx1wf8vtfd8q78k3zq58.mp4,0.7549183368682861,0.7510576844215393,0.6679349541664124,0.7510759830474854,0.7537257671356201,0.7727819681167603,0.8136972188949585,0.8156014084815979,0.702860951423645,WW,W,W,0.7475690692663193,0.7726292610168457,0.7529880106449127,0.7095054686069489,0.7632538676261902,0.8146493136882782
